fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
328,-72.15042353,18.78111343,621-03,3ème Grand Boucan,Centre,Mirebalais,Mirebalais,83.7522,62,4,5,100,880,30830,4.49,368,2.57,Sant,Mibalè,3e Gran Boukan,Mibalè,67,29.2,3.8,0,58,847344,5.93,27.48,1.44,Bovin,39,0,-1,12.17,Gran Nòdès,2198,3.342027688,0,0,58,0.624,-0.2048,4,4
329,-72.10829323,18.75646577,621-04,4ème Crête Brûlée,Centre,Mirebalais,Mirebalais,74.2718,48,4,5,110,900,22176,4.35,299,2.48,Sant,Mibalè,4e Krèt Brile,Mibalè,48.2,39.7,12.1,0,59,1483389,6.17,66.89,1.83,Bovin,25,11,1.04,17.09,Gran Nòdès,2111,3.324488233,0,0,75,0.3,-0.5229,4,4
330,-72.03731331,18.76048093,621-01,1ère Gascogne,Centre,Mirebalais,Mirebalais,70.9668,30,4,5,150,1150,16359,4.21,231,2.36,Sant,Mibalè,1e Gaskòy,Mibalè,51.6,28.6,19.1,0.7,75,1382446,6.14,84.51,1.93,Bovin,41,3,0.48,18.31,Gran Nòdès,2328,3.366982976,0,0,63,0.087,-1.0605,3,3
331,-72.03568332,18.82829864,621-02,2ème Sarazin,Centre,Mirebalais,Mirebalais,97.6511,68,5,5,110,1040,39761,4.6,407,2.61,Sant,Mibalè,2e Sarazen,Mibalè,54.4,31.9,12,1.8,57,1470306,6.17,36.98,1.57,Bovin,51,0,-1,16.09,Gran Nòdès,2400,3.380211242,0,0,44,0.343,-0.4647,4,4
332,-72.88553739,19.58671598,523-02,2ème Sources Chaudes,Artibonite,Anse Rouge,Gros Morne,155.9875,33,1,3,0,880,27638,4.44,177,2.25,Latibonit,Ans Wouj,2e Sous Cho,Gwo Mòn,72.2,19.4,8.4,0,65,1382354,6.14,50.02,1.7,Caprin,41,0,-1,10.74,Gran Nòdwès,447,2.650307523,1,0,33,0.501,-0.3002,4,4
333,-73.0010447,19.67569873,523-01,1ère de L'Arbre,Artibonite,Anse Rouge,Gros Morne,274.9814,46,1,3,0,1020,49542,4.69,180,2.26,Latibonit,Ans Wouj,1e Delab,Gwo Mòn,75.6,19.1,5.3,0,64,2786828,6.45,56.25,1.75,Bovin,26,3,0.48,10.02,Gran Nòdwès,539,2.731588765,1,0,26,0.451,-0.3458,4,4
334,-73.81142417,18.04919145,722-03,3ème Trichet,Sud,"St, Jean du Sud",Port-Salut,23.6286,66,4,4,0,160,7238,3.86,306,2.49,Sid,Sen Jan nan Sid,3e Trichè,Pò Sali,77.9,22.1,0,0,62,428736,5.63,59.23,1.77,Bovin,26,0,-1,9.68,Gran Sid,1700,3.230448921,1,0,32,1.031,0.0133,4,4
335,-73.85166183,18.08165836,722-01,1ère Tapion,Sud,"St, Jean du Sud",Port-Salut,24.9345,79,4,5,0,330,14017,4.15,562,2.75,Sid,Sen Jan nan Sid,1e Tapyon,Pò Sali,50.2,46.8,3.1,0,50,342349,5.53,24.42,1.39,Bovin,19,0,-1,14.54,Gran Sid,1800,3.255272505,1,0,66,0.918,-0.0372,4,4
336,-73.8550607,18.0409479,722-02,2ème Débouchette,Sud,"St, Jean du Sud",Port-Salut,21.5437,46,4,4,0,230,5338,3.73,248,2.39,Sid,Sen Jan nan Sid,2e Debouchèt,Pò Sali,85,14.2,0.8,0,54,434286,5.64,81.36,1.91,Bovin,79,0,-1,9.89,Gran Sid,1700,3.230448921,1,0,42,0.659,-0.1811,4,4
337,-72.69076763,18.32907574,123-06,6ème Grande Colline,Ouest,Grand-Goâve,Léogâne,21.0364,66,4,5,240,1260,9086,3.96,432,2.64,Lwès,Grangwav,6e Gran Kolin,Leyogàn,2.5,84.2,13.3,0,66,417946,5.62,46,1.66,Bovin,28,0,-1,23.87,Gran Sid,1825,3.261262869,0,0,76,0.836,-0.0778,3,3
