fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
374,-72.5295416,19.54099064,512-03,3ème Chemin Neuf,Artibonite,Ennery,Gonaïves,59.7456,10,2,4,150,980,9008,3.95,151,2.18,Latibonit,Ennri,3e Chimen Nèf,Gonayiv,8.6,84.3,7.1,0,73,410656,5.61,45.59,1.66,Bovin,51,22,1.34,21.62,Gran Nòdwès,1261,3.100715087,0,0,91,0.492,-0.308,3,3
375,-72.20740209,18.70172313,132-04,4ème Crochus,Ouest,Thomazeau,Croix des Bouquets,71.8899,25,2,5,30,900,9863,3.99,137,2.14,Lwès,Tamazo,4e Kwochi,Kwadèboukè,21.2,50.6,26.3,1.9,61,445250,5.65,45.14,1.65,Bovin,100,0,-1,25.4,Pòtòprens,1460,3.164352856,0,0,86,0.138,-0.8601,3,3
376,-72.43096329,19.43876975,512-01,1ère Savane Carrée,Artibonite,Ennery,Gonaïves,60.3724,38,3,4,370,1420,23283,4.37,386,2.59,Latibonit,Ennri,1e Savann Kare,Gonayiv,34.7,44.5,20.9,0,54,576419,5.76,24.76,1.39,Bovin,98,0,-1,21.62,Gran Nòdwès,1268,3.103119254,0,0,63,0.329,-0.4828,4,4
377,-72.1223211,18.60055604,132-02,2ème Grande Plaine,Ouest,Thomazeau,Croix des Bouquets,43.2725,66,2,2,30,60,28668,4.46,662,2.82,Lwès,Tamazo,2e Gran Plenn,Kwadèboukè,100,0,0,0,59,1054201,6.02,36.77,1.57,Bovin,69,0,-1,1.01,Pòtòprens,800,2.903089987,0,0,0,1.641,0.2151,4,4
378,-72.06108175,18.70560395,132-03,3ème Trou d'Eau,Ouest,Thomazeau,Croix des Bouquets,39.154,0,3,5,260,1360,4242,3.63,108,2.03,Lwès,Tamazo,3e Twou Dlo,Kwadèboukè,0.1,39.1,53.3,7.5,77,945227,5.98,222.83,2.35,Bovin,100,0,-1,38.22,Pòtòprens,1692,3.228400359,0,0,100,0.003,-2.5229,3,3
379,-74.34353299,18.50493066,815-02,2e Boucan,Grande Anse,Chambellan,Jérémie,45.0627,7,4,6,70,720,7577,3.88,168,2.23,Grandans,Chanbelan,2e Boukan,Jeremi,1,83.3,15.7,0,72,802851,5.9,105.96,2.03,Bovin,8,0,-1,24.65,Gran Sid,2719,3.434409208,0,0,90,0.184,-0.7352,3,3
380,-72.10098328,18.64754395,132-01,1ère Grande Plaine,Ouest,Thomazeau,Croix des Bouquets,137.7989,76,2,4,20,840,37604,4.58,273,2.44,Lwès,Tamazo,1e Gran Plenn,Kwadèboukè,72.1,17,10.9,0,57,1722997,6.24,45.82,1.66,Bovin,40,2,0.3,10.32,Pòtòprens,967,2.985426474,0,1,29,0.535,-0.2716,1,1
381,-74.1613263,18.63194614,811-08,8e Fonds Rouge Dahere,Grande Anse,Jérémie,Jérémie,25.9073,80,3,4,0,530,24771,4.39,956,2.98,Grandans,Jeremi,8e Wouj Dayè,Jeremi,32,67.5,0.5,0,57,368244,5.57,14.87,1.17,Bovin,4,8,0.9,16.77,Gran Sid,1535,3.18610838,1,0,72,0.873,-0.059,4,4
382,-74.18517537,18.65380612,811-09,9e Fonds Rouge Torberck,Grande Anse,Jérémie,Jérémie,33.4551,74,3,4,0,490,25280,4.4,756,2.88,Grandans,Jeremi,9e Wouj Tòbèk,Jeremi,44.2,55.8,0,0,56,397975,5.6,15.74,1.2,Bovin,3,15,1.18,15.32,Gran Sid,1294,3.111934276,1,0,74,0.715,-0.1457,4,4
383,-74.31158315,18.53688521,815-01,1e  Déjean,Grande Anse,Chambellan,Jérémie,28.4589,81,4,6,60,740,9956,4,350,2.54,Grandans,Chanbelan,1e Dejan,Jeremi,14.5,73,12.6,0,61,595519,5.77,59.82,1.78,Bovin,2,0,-1,22.22,Gran Sid,2588,3.412964272,0,0,73,0.172,-0.7645,4,4
384,-74.21808979,18.50908804,811-06,6e Iles Blanches,Grande Anse,Jérémie,Jérémie,44.4765,53,5,7,30,1230,12797,4.11,288,2.46,Grandans,Jeremi,6e Zilblanch,Jeremi,6.9,73.7,19.3,0,63,1527335,6.18,119.35,2.08,Bovin,74,5,0.7,24.78,Gran Sid,3448,3.537567257,0,0,46,0.061,-1.2147,3,3
385,-74.17238339,18.60784644,811-07,7e Marfranc,Grande Anse,Jérémie,Jérémie,29.1773,67,3,5,0,670,18346,4.26,629,2.8,Grandans,Jeremi,7e Mafran,Jeremi,27.5,58,14.6,0,64,254552,5.41,13.88,1.14,Bovin,9,0,-1,21.02,Gran Sid,2008,3.302763708,1,0,76,0.807,-0.0931,4,4
386,-74.14266558,18.58765177,811-04,4e Basse Guinaudée,Grande Anse,Jérémie,Jérémie,29.7696,11,3,6,10,330,8066,3.91,271,2.43,Grandans,Jeremi,4e Bas Ginode,Jeremi,20.7,79.3,0,0,63,316398,5.5,39.23,1.59,Bovin,21,0,-1,18.26,Gran Sid,2348,3.370698093,0,0,87,0.556,-0.2549,3,3
387,-74.18741559,18.54340241,811-05,5e Ravine à Charles,Grande Anse,Jérémie,Jérémie,39.9739,55,5,7,20,980,13765,4.14,344,2.54,Grandans,Jeremi,5e Ravinachal,Jeremi,21.9,66.5,11.5,0.1,75,454686,5.66,33.03,1.52,Bovin,66,0,-1,21.08,Gran Sid,3043,3.483301952,0,0,67,0.088,-1.0555,3,3
388,-74.11225194,18.50521739,811-02,2ème Haute Voldrogue,Grande Anse,Jérémie,Jérémie,53.4963,33,5,7,60,1450,15664,4.19,293,2.47,Grandans,Jeremi,2e Wot Vòldwòg,Jeremi,4.2,58,35.5,2.4,64,1415847,6.15,90.39,1.96,Bovin,55,0,-1,30.39,Gran Sid,3273,3.514946005,0,0,90,0.469,-0.3288,3,3
389,-74.16418047,18.45972495,811-03,3e Haute Guinaudée,Grande Anse,Jérémie,Jérémie,130.3011,38,4,7,150,1790,20534,4.31,158,2.2,Grandans,Jeremi,3e Wot Ginode,Jeremi,5.2,22.4,67.4,5,65,468420,5.67,22.81,1.36,Bovin,55,4,0.6,39.46,Gran Sid,3289,3.517063873,0,0,97,0.113,-0.9469,3,3
390,-72.54726096,18.98202889,532-06,6ème Terre Nette,Artibonite,Verrettes,Saint-Marc,40.4166,0,3,4,430,1400,2775,3.44,69,1.84,Latibonit,Verèt,6e Tè Nèt,Sen Mak,0.3,66.8,32.8,0,78,173479,5.24,62.51,1.8,Bovin,100,0,-1,28.83,Gran Nòdwès,1520,3.181843588,0,0,99,0.002,-2.699,3,3
391,-72.44234281,18.97692757,532-04,4ème Désarmes,Artibonite,Verrettes,Saint-Marc,107.0416,61,4,4,40,1430,34026,4.53,318,2.5,Latibonit,Verèt,4e Dezam,Sen Mak,18.2,49.5,32.3,0,61,808483,5.91,23.76,1.38,Bovin,11,8,0.9,26.16,Gran Nòdwès,1700,3.230448921,0,0,90,0.728,-0.1379,4,4
392,-72.52371298,19.02612734,532-05,5ème Bastien,Artibonite,Verrettes,Saint-Marc,74.1603,44,3,4,60,1220,25553,4.41,345,2.54,Latibonit,Verèt,5e Bastyen,Sen Mak,16.9,63.6,19.4,0,59,410674,5.61,16.07,1.21,Bovin,39,1,0,23.39,Gran Nòdwès,1400,3.146128036,0,0,94,0.63,-0.2007,4,4
393,-72.50457887,19.08400201,532-02,2ème Bélanger,Artibonite,Verrettes,Saint-Marc,61.8682,81,3,4,20,430,34361,4.54,555,2.74,Latibonit,Verèt,2e Belanje,Sen Mak,71,29,0,0,49,834445,5.92,24.28,1.39,Bovin,13,0,-1,8.63,Gran Nòdwès,1336,3.125806458,0,0,40,2.02,0.3054,4,4
394,-72.40607885,19.01910882,532-03,3ème Guillaume Mogé,Artibonite,Verrettes,Saint-Marc,30.9585,92,4,4,30,270,13595,4.13,439,2.64,Latibonit,Verèt,3e Giyòm Moje,Sen Mak,94.5,5.5,0,0,53,333236,5.52,24.51,1.39,Bovin,0,0,-1,3.93,Gran Nòdwès,1700,3.230448921,0,0,14,2.572,0.4103,4,4
395,-72.27995029,18.58420138,118-01,1ère Bellevue,Ouest,Tabarre,Port-au-Prince,15.7069,100,2,3,20,70,104612,5.02,6660,3.82,Lwès,Taba,1e Bèlvi,Pòtoprens,99.9,0,0,0,37,248060,5.39,2.37,0.37,Bovin,0,0,-1,1.33,Pòtòprens,1145,3.058805487,0,0,2,6.934,0.841,2,2
396,-71.84001377,18.82618777,632-03,3ème Riaribes,Centre,Belladère,Lascahobas,66.5971,57,4,5,200,1200,22840,4.36,343,2.54,Sant,Beladè,3e Riyarib,Laskawobas,42.6,47.3,10.1,0,56,585550,5.77,25.64,1.41,Bovin,80,4,0.6,17.35,Gran Nòdès,2201,3.342620043,0,0,51,0.778,-0.109,4,4
397,-72.55636873,19.13091878,532-01,1ère Liancourt,Artibonite,Verrettes,Saint-Marc,33.5745,98,2,3,20,180,45470,4.66,1354,3.13,Latibonit,Verèt,1e Liyankou,Sen Mak,94.2,5.8,0,0,45,748006,5.87,16.45,1.22,Bovin,9,0,-1,4.34,Gran Nòdwès,1177,3.070776463,0,0,5,4.304,0.6339,2,2
398,-71.76995004,18.84438481,632-01,1ère Renth Mathe,Centre,Belladère,Lascahobas,132.131,73,3,5,210,1570,56357,4.75,427,2.63,Sant,Beladè,1e Rentmat,Laskawobas,53,39.1,7.9,0,56,1311642,6.12,23.27,1.37,Bovin,32,2,0.3,15.34,Gran Nòdès,1805,3.256477206,0,1,58,0.838,-0.0768,1,1
399,-71.84696491,18.91214419,632-02,2ème Roye sec,Centre,Belladère,Lascahobas,101.773,4,3,5,170,430,21605,4.33,212,2.33,Sant,Beladè,2e Wòy Sèk,Laskawobas,95.5,4.5,0,0,61,983830,5.99,45.54,1.66,Bovin,64,2,0.3,6.97,Gran Nòdès,1665,3.221414238,0,1,58,0.459,-0.3382,1,1
400,-73.9327793,18.51636903,831-02,2e Fonds d' Icaque,Grande Anse,Corail,Corail,37.5083,0,3,4,70,600,4829,3.68,129,2.11,Grandans,Koray,2e Fondikak,Koray,50.8,40,9.1,0,64,716478,5.86,148.37,2.17,Bovin,60,0,-1,14.95,Gran Sid,1654,3.218535505,0,0,31,0.192,-0.7167,3,3
401,-73.93888585,18.57293769,831-03,3e Champy,Grande Anse,Corail,Corail,20.667,0,3,4,0,500,2203,3.34,107,2.03,Grandans,Koray,3e Chanpi,Koray,32.9,49.3,17.8,0,71,1085877,6.04,492.91,2.69,Bovin,99,0,-1,19.61,Gran Sid,1232,3.090610708,1,0,40,0.139,-0.857,3,3
402,-73.88352323,18.53875529,831-01,1ere Duquillon,Grande Anse,Corail,Corail,50.3573,48,3,4,0,490,7953,3.9,158,2.2,Grandans,Koray,1e Dikiyon,Koray,29.4,68.3,2.3,0,62,707674,5.85,88.98,1.95,Bovin,44,0,-1,17.01,Gran Sid,1392,3.143639235,1,0,50,0.313,-0.5045,4,4
403,-72.29764752,18.55430447,112-01,1ère Saint martin,Ouest,Delmas,Port-au-Prince,26.0411,100,3,3,10,300,349633,5.54,13426,4.13,Lwès,Dèlma,1e Sen Maten,Pòtoprens,100,0,0,0,25,262241,5.42,0.75,-0.12,Bovin,0,0,-1,6.37,Pòtòprens,1200,3.079181246,0,0,56,14.371,1.1575,2,2
404,-72.61155644,18.35369931,121-13,13ème Petit Harpon,Ouest,Léogane,Léogâne,19.3648,14,3,4,310,840,7382,3.87,381,2.58,Lwès,Leyogàn,13e Ti Apon,Leyogàn,3.1,73.9,23,0,61,491177,5.69,66.54,1.82,Bovin,27,0,-1,26.14,Gran Sid,1582,3.199206479,0,0,99,0.439,-0.3575,3,3
405,-73.31604093,19.68554252,933-01,1ère Plate Forme,Nord Ouest,Bombardopolis,Môle Saint Nicolas,88.528,71,1,3,0,630,13688,4.14,155,2.19,Nòdwès,Bonbadopolis,1e Platfòm,Mòl Sen Nikol,74.5,17.8,7.7,0,62,1238405,6.09,90.47,1.96,Bovin,20,1,0,12.05,Gran Nòdwès,747,2.873320602,1,0,36,0.2,-0.699,4,4
406,-72.5911351,18.43402531,121-11,11ème Gros Morne,Ouest,Léogane,Léogâne,28.3701,61,3,4,50,660,12674,4.1,447,2.65,Lwès,Leyogàn,11e Gwo Mòn,Leyogàn,22.7,61.4,15.8,0,68,424863,5.63,33.52,1.53,Bovin,10,3,0.48,21.06,Gran Sid,1345,3.128722284,0,0,80,0.004,-2.3979,4,4
407,-73.36320464,19.69719868,933-02,2ème des Forges,Nord Ouest,Bombardopolis,Môle Saint Nicolas,69.4878,66,1,3,0,700,17775,4.25,256,2.41,Nòdwès,Bonbadopolis,2e Dèfòj,Mòl Sen Nikol,66.3,22.7,11,0,63,984478,5.99,55.39,1.74,Caprin,10,1,0,14.42,Gran Nòdwès,691,2.839478047,1,0,48,0.3,-0.5229,4,4
408,-72.61617494,18.41175188,121-12,12ème Cormiers,Ouest,Léogane,Léogâne,24.3089,49,3,4,60,780,8350,3.92,343,2.54,Lwès,Leyogàn,12e Kòmye,Leyogàn,9.1,77,13.9,0,52,589425,5.77,70.59,1.85,Bovin,3,1,0,23.1,Gran Sid,1248,3.096214585,0,0,93,0.308,-0.5114,4,4
409,-71.79147419,18.11925446,234-01,1ère Boucan Guillaume,Sud-Est,Anse-à-Pitre,Belle Anse,126.604,80,1,5,0,750,14079,4.15,111,2.05,Sidès,Ansapit,1e Boukan Giyòm,Bèl Ans,59,40.7,0.3,0,65,509667,5.71,36.2,1.56,Bovin,8,0,-1,13.17,Gran Sid,988,2.994756945,1,1,85,0.611,-0.214,1,1
410,-72.55897078,18.38219768,121-10,10ème Fonds d'Oie,Ouest,Léogane,Léogâne,35.8896,62,4,5,230,880,17590,4.25,490,2.69,Lwès,Leyogàn,10e Fondwa,Leyogàn,0,67,33,0,50,192579,5.28,10.95,1.04,Bovin,35,0,-1,28.92,Gran Sid,1721,3.23578087,0,0,100,0.568,-0.2457,4,4
411,-71.77764922,18.23966678,234-02,2ème Bois d'Orme,Sud-Est,Anse-à-Pitre,Belle Anse,55.053,40,4,5,360,2270,9256,3.97,168,2.23,Sidès,Ansapit,2e Bwadòm,Bèl Ans,14,78.2,7.7,0,71,650003,5.81,70.23,1.85,Bovin,57,0,-1,21.03,Gran Sid,2235,3.349277527,0,1,88,0.854,-0.0685,1,1
412,-73.04924594,18.80203412,152-04,4ème Pointe à Raquette,Ouest,Pointe-à-Raquette,La Gonave,76.6153,35,2,3,0,750,17137,4.23,224,2.35,Lwès,Pwentarakèt,4e Pwentarakèt,Lagonav,49.1,44.3,6.6,0,70,1615746,6.21,94.28,1.97,Bovin,31,1,0,15.7,Gran Nòdwès,894,2.951337519,1,0,54,0.612,-0.2132,4,4
413,-72.24893299,18.55991977,118-02,2ème Bellevue,Ouest,Tabarre,Port-au-Prince,12.7164,99,2,3,50,160,39256,4.59,3087,3.49,Lwès,Taba,2e Bèlvi,Pòtoprens,100,0,0,0,40,30548,4.48,0.78,-0.11,Porcin,0,0,-1,2.15,Pòtòprens,1026,3.011147361,0,0,6,5.444,0.7359,2,2
414,-73.13433653,18.91123337,152-05,5ème Gros Mangle,Ouest,Pointe-à-Raquette,La Gonave,31.5267,52,2,2,0,260,5004,3.7,159,2.2,Lwès,Pwentarakèt,5e Gwo Mang,Lagonav,96.4,3.6,0,0,62,284104,5.45,56.78,1.75,Bovin,47,0,-1,6.61,Gran Nòdwès,800,2.903089987,1,0,16,0.403,-0.3947,4,4
415,-73.23845186,18.89458079,152-02,2ème Grand Vide,Ouest,Pointe-à-Raquette,La Gonave,68.8586,0,2,4,0,350,9081,3.96,132,2.12,Lwès,Pwentarakèt,2e Gran Vid,Lagonav,96,4,0,0,66,925658,5.97,101.93,2.01,Bovin,54,0,-1,6.21,Gran Nòdwès,800,2.903089987,1,0,10,0.117,-0.9318,4,4
416,-73.16149374,18.85798536,152-03,3ème Trou Louis,Ouest,Pointe-à-Raquette,La Gonave,67.9106,0,2,2,0,360,11670,4.07,172,2.24,Lwès,Pwentarakèt,3e Twou Lwi,Lagonav,98,2,0,0,59,846437,5.93,72.53,1.86,Bovin,79,0,-1,6.42,Gran Nòdwès,800,2.903089987,1,0,4,0.696,-0.1574,4,4
417,-73.02257357,18.29952151,1011-03,3ème Dessources,Nippes,Miragoâne,Miragoâne,46.464,18,3,5,60,650,11062,4.04,238,2.38,Nip,Miragwàn,3e Desous,Miragwàn,11.1,79.7,9.2,0,75,902254,5.96,81.56,1.91,Bovin,95,0,-1,21.83,Gran Sid,1687,3.227115083,0,0,73,0.189,-0.7235,3,3
418,-73.21420117,18.94186118,152-01,1ère La Source,Ouest,Pointe-à-Raquette,La Gonave,64.7365,0,2,2,0,320,5642,3.75,87,1.94,Lwès,Pwentarakèt,1e Lasous,Lagonav,89.8,10.1,0,0,75,252833,5.4,44.81,1.65,Bovin,62,0,-1,8.38,Gran Nòdwès,800,2.903089987,1,0,12,0.002,-2.699,3,3
419,-73.12489187,18.37752322,1011-04,4ème Saint-Michel,Nippes,Miragoâne,Miragoâne,22.2482,78,3,4,110,650,10033,4,451,2.65,Nip,Miragwàn,4e Sen Michèl,Miragwàn,39.6,57.3,3,0,57,411434,5.61,41.01,1.61,Bovin,17,0,-1,15.11,Gran Sid,1667,3.2219356,0,0,46,0.755,-0.1221,4,4
420,-73.07448804,18.41566582,1011-01,1ère Chalon,Nippes,Miragoâne,Miragoâne,50.1034,91,3,4,-2,310,32333,4.51,645,2.81,Nip,Miragwàn,1e Chalon,Miragwàn,50.4,48.7,0.9,0,48,570309,5.76,17.64,1.25,Bovin,2,0,-1,12.51,Gran Sid,1520,3.181843588,1,0,35,0.61,-0.2147,4,4
421,-73.05998638,18.35219961,1011-02,2ème Belle Rivière,Nippes,Miragoâne,Miragoâne,50.4625,25,4,4,20,590,16380,4.21,325,2.51,Nip,Miragwàn,2e Bèl Rivyè,Miragwàn,23.9,72.1,4,0,64,686004,5.84,41.88,1.62,Bovin,52,0,-1,18.69,Gran Sid,1700,3.230448921,0,0,87,0.281,-0.5513,3,3
422,-72.16681281,19.23587966,612-03,3ème Hatty,Centre,Maïssade,Hinche,119.8954,0,3,4,260,410,17044,4.23,142,2.15,Sant,Mayisad,3e Ati,Ench,100,0,0,0,71,1508787,6.18,88.52,1.95,Bovin,74,1,0,2.93,Gran Nòdès,1691,3.228143608,0,0,5,0.172,-0.7645,4,4
423,-71.92700816,19.57443271,433-02,2ème Grand Bassin,Nord Est,Terrier Rouge,Trou du Nord,51.0923,62,3,4,50,400,14120,4.15,276,2.44,Nòdès,Terye Wouj,2e Gran Basen,Twoudinò,80,14.4,5.6,0,58,1051462,6.02,74.47,1.87,Bovin,11,0,-1,7.9,Gran Nòdès,1200,3.079181246,0,0,11,1.141,0.0573,4,4
424,-72.20178888,19.17413019,612-01,1ère Savane Grande,Centre,Maïssade,Hinche,108.3322,39,4,5,260,740,43663,4.64,403,2.61,Sant,Mayisad,1e Savann Grand,Ench,87.9,10.8,1.2,0,56,2318788,6.37,53.11,1.73,Bovin,21,0,-1,7.1,Gran Nòdès,2203,3.343014497,0,0,27,0.377,-0.4237,4,4
425,-72.83389383,18.17218016,221-09,9ème Bas de Gris-gris,Sud-Est,Bainet,Bainet,75.7147,2,3,4,0,490,15618,4.19,206,2.31,Sidès,Benè,9e Ba Grigri,Benè,37.2,62.1,0.7,0,61,503353,5.7,32.23,1.51,Bovin,89,0,-1,16.27,Gran Sid,1538,3.186956335,1,0,39,0.838,-0.0768,4,4
426,-72.16405277,19.12730782,612-02,2ème Narang,Centre,Maïssade,Hinche,67.4073,9,4,5,250,1260,18038,4.26,268,2.43,Sant,Mayisad,2e Narang,Ench,52.4,29.8,17.6,0.2,68,298425,5.47,16.54,1.22,Bovin,43,0,-1,16.88,Gran Nòdès,2162,3.33485569,0,0,63,0.139,-0.857,3,3
427,-72.88885868,19.74742647,913-03,3ème Haut des Moustiques,Nord Ouest,Bassin Bleu,Port-de-Paix,64.2268,40,2,3,250,890,24184,4.38,377,2.58,Nòdwès,Basen Ble,3e Wo Moustik,Pòdpè,21.8,74.9,3.3,0,56,280592,5.45,11.6,1.06,Caprin,39,0,-1,19.03,Gran Nòdwès,1194,3.077004327,0,0,26,0.499,-0.3019,4,4
428,-72.87739685,18.25034635,221-07,7ème Bras Gauche,Sud-Est,Bainet,Bainet,17.9445,0,4,4,120,600,5024,3.7,280,2.45,Sidès,Benè,7e Bra Goch,Benè,20.2,68.5,11.3,0,68,356282,5.55,70.92,1.85,Bovin,97,0,-1,21.17,Gran Sid,1700,3.230448921,0,0,69,0.006,-2.2218,3,3
429,-71.92591352,19.66473003,433-01,1ère Fond Blanc,Nord Est,Terrier Rouge,Trou du Nord,119.0821,75,2,3,0,390,20694,4.32,174,2.24,Nòdès,Terye Wouj,1e Fon Blan,Twoudinò,94.9,2.6,2.5,0,64,1766360,6.25,85.36,1.93,Bovin,14,0,-1,3.15,Gran Nòdès,1003,3.001300933,1,0,4,0.978,-0.0097,4,4
430,-73.40661388,19.69343285,933-03,3ème Plaine d'Oranges,Nord Ouest,Bombardopolis,Môle Saint Nicolas,28.8496,79,1,2,0,720,13008,4.11,451,2.65,Nòdwès,Bonbadopolis,3e Plenn Doranj,Mòl Sen Nikol,46.2,41.5,12.3,0,63,739604,5.87,56.86,1.75,Caprin,7,6,0.78,18.02,Gran Nòdwès,590,2.770852012,1,0,54,0.104,-0.983,4,4
431,-72.84661476,18.22648563,221-08,8ème Oranger,Sud-Est,Bainet,Bainet,28.6339,8,4,5,70,570,7423,3.87,259,2.41,Sidès,Benè,8e Zoranje,Benè,10.3,84.7,5,0,70,404793,5.61,54.53,1.74,Bovin,92,0,-1,20.9,Gran Sid,1739,3.240299582,0,0,66,0.01,-2,3,3
432,-72.76733718,19.81529572,913-01,1ère La  Plate,Nord Ouest,Bassin Bleu,Port-de-Paix,56.9697,69,2,5,100,1160,22516,4.35,395,2.6,Nòdwès,Basen Ble,1e Laplat,Pòdpè,17,62.2,20.8,0,55,1390142,6.14,61.74,1.79,Bovin,14,0,-1,23.73,Gran Nòdwès,1553,3.191171456,0,0,81,0.97,-0.0132,4,4
433,-72.66929557,18.30826419,214-03,3ème Morne à Bruler,Sud-Est,La Vallée,Jacmel,24.3554,66,4,5,170,890,8525,3.93,350,2.54,Sidès,Lavale,3e Mònabrile,Jakmèl,0,86.3,13.7,0,63,161863,5.21,18.99,1.28,Bovin,56,0,-1,24.29,Gran Sid,1822,3.260548373,0,0,77,0.505,-0.2967,3,3
434,-72.79004288,18.21569588,221-05,5ème Bas de Grandou,Sud-Est,Bainet,Bainet,44.4555,27,4,5,0,570,13549,4.13,305,2.48,Sidès,Benè,5e Ba Grandou,Benè,17.9,81.2,0.9,0,56,753744,5.88,55.63,1.75,Bovin,28,0,-1,18.98,Gran Sid,1735,3.239299479,1,0,32,0.283,-0.5482,4,4
435,-72.85359199,19.79461668,913-02,2ème Carreau Datty,Nord Ouest,Bassin Bleu,Port-de-Paix,92.6508,2,1,3,60,650,15541,4.19,168,2.23,Nòdwès,Basen Ble,2e Kawo Dati,Pòdpè,62.7,36.2,1.1,0,67,339192,5.53,21.83,1.34,Bovin,63,0,-1,12.94,Gran Nòdwès,868,2.938519725,0,0,31,0.57,-0.2441,4,4
436,-72.83882584,18.27057627,221-06,6ème Bas de Lacroix,Sud-Est,Bainet,Bainet,9.754,0,4,5,210,640,1333,3.12,137,2.14,Sidès,Benè,6e Ba Lakwa,Benè,0,51,49,0,73,44405,4.65,33.31,1.52,Bovin,97,0,-1,32.75,Gran Sid,2247,3.351603072,0,0,100,0.01,-2,3,3
437,-72.6634396,18.27017165,214-01,1ère Mussac,Sud-Est,La Vallée,Jacmel,37.5119,72,4,5,170,820,13173,4.12,351,2.55,Sidès,Lavale,1e Misak,Jakmèl,5.6,76.5,17.9,0,50,320983,5.51,24.37,1.39,Bovin,12,0,-1,24.58,Gran Sid,1849,3.266936911,0,0,83,0.876,-0.0575,4,4
438,-72.74637897,18.23376216,221-03,3ème La Vallée de Bainet,Sud-Est,Bainet,Jacmel,26.5189,48,4,5,40,840,6924,3.84,261,2.42,Sidès,Benè,3e Lavale Benè,Benè,0.2,81.5,18.3,0,58,235709,5.37,34.04,1.53,Bovin,69,0,-1,25.38,Gran Sid,2003,3.301680949,0,0,45,0.452,-0.3449,3,3
439,-72.7313143,18.28539827,214-02,2ème Ternier,Sud-Est,La Vallée,Jacmel,23.4887,21,5,5,270,1230,6651,3.82,283,2.45,Sidès,Lavale,2e Tènye,Jakmèl,9.9,62.4,27.7,0,60,265329,5.42,39.89,1.6,Bovin,42,0,-1,26.41,Gran Sid,2400,3.380211242,0,0,92,0.387,-0.4123,3,3
440,-72.79101823,18.26065309,221-04,4ème Haut Grandou,Sud-Est,Bainet,Bainet,20.0045,0,4,5,140,760,4103,3.61,205,2.31,Sidès,Benè,4e Wo Grandou,Benè,1.6,64.5,33.9,0,68,250828,5.4,61.13,1.79,Bovin,90,0,-1,28.93,Gran Sid,2298,3.361350024,0,0,74,0.005,-2.301,3,3
441,-72.67402844,18.21413423,221-01,1ère Brésilienne,Sud-Est,Bainet,Bainet,41.6178,0,4,5,0,720,8550,3.93,205,2.31,Sidès,Benè,1e Brezilyèn,Benè,11.6,76.8,11.6,0,63,372430,5.57,43.56,1.64,Bovin,86,32,1.51,22.24,Gran Sid,1719,3.235275877,1,0,59,0.197,-0.7055,3,3
442,-72.71714113,18.21967982,221-02,2ème Trou Mahot,Sud-Est,Bainet,Bainet,35.5255,24,4,5,0,840,8205,3.91,231,2.36,Sidès,Benè,2e Twou Mawo,Benè,8.7,69.8,21.5,0,60,288699,5.46,35.19,1.55,Bovin,58,16,1.2,24.97,Gran Sid,1879,3.27392678,1,0,61,0.521,-0.2832,3,3
443,-73.13346201,18.29223119,731-09,9ème Fonds des Blancs,Sud,Aquin,Aquin,48.574,70,3,3,220,580,33120,4.52,682,2.83,Sid,Aken,9e Fondèblan,Aken,18.7,73.8,7.5,0,61,436290,5.64,13.17,1.12,Bovin,39,0,-1,20.13,Gran Sid,1200,3.079181246,0,0,53,0.932,-0.0306,4,4
444,-73.06745047,18.24749367,731-07,7ème Frangipane,Sud,Aquin,Aquin,123.9873,50,2,4,0,520,54061,4.73,436,2.64,Sid,Aken,7e Franjipàn,Aken,43.7,53.4,3,0,65,655966,5.82,12.13,1.08,Bovin,73,0,-1,15.89,Gran Sid,1323,3.121559844,1,0,59,0.792,-0.1013,4,4
445,-73.28483917,18.35022705,731-08,8ème Colline à Mongon,Sud,Aquin,Aquin,29.0864,85,3,4,210,550,24143,4.38,830,2.92,Sid,Aken,8e Kolin Mongon,Aken,19.3,76.2,4.5,0,51,375918,5.58,15.57,1.19,Bovin,50,0,-1,19.61,Gran Sid,1345,3.128722284,0,0,79,0.526,-0.279,4,4
446,-73.38533039,18.31735836,731-05,5ème Mare à Coiffe,Sud,Aquin,Aquin,25.7476,81,3,5,20,880,23082,4.36,896,2.95,Sid,Aken,5e Marakwaf,Aken,30.5,43,26.6,0,46,266777,5.43,11.56,1.06,Bovin,53,0,-1,22.89,Gran Sid,1534,3.18582536,0,0,70,0.649,-0.1878,4,4
